,shape,pos,count
0,'x,PART,2
1,'xx,AUX,1
2,",",PUNCT,22
3,.,PUNCT,6
4,X,PRON,1
5,Xx,PRON,1
6,Xx.,PROPN,1
7,Xxx,CCONJ,5
8,Xxx.,PROPN,1
9,Xxxx,INTJ,1
10,Xxxx,PROPN,2
11,Xxxxx,ADV,1
12,Xxxxx,PROPN,11
13,other.,PUNCT,8
14,x,DET,2
15,x'x,PART,1
16,xx,ADP,17
17,xx,CCONJ,1
18,xx,PART,3
19,xx,PRON,5
20,xx,VERB,3
21,xxx,ADJ,1
22,xxx,ADP,2
23,xxx,AUX,6
24,xxx,CCONJ,7
25,xxx,DET,20
26,xxx,NOUN,4
27,xxx,NUM,1
28,xxx,PRON,6
29,xxx,VERB,1
30,xxxx,ADJ,10
31,xxxx,ADP,12
32,xxxx,ADV,9
33,xxxx,AUX,4
34,xxxx,NOUN,27
35,xxxx,PRON,7
36,xxxx,SCONJ,2
37,xxxx,VERB,18
