,shape,pos,count
0,",",PUNCT,16
1,.,NOUN,5
2,.,PUNCT,15
3,X,PRON,1
4,Xx,PRON,1
5,Xxx,DET,3
6,Xxx,PRON,1
7,Xxxx,DET,2
8,Xxxx,PROPN,1
9,Xxxxx,PROPN,1
10,other.,ADJ,1
11,other.,NOUN,2
12,other.,NUM,12
13,other.,PUNCT,6
14,x,DET,4
15,xx,ADP,25
16,xx,ADV,2
17,xx,AUX,7
18,xx,CCONJ,2
19,xx,NOUN,5
20,xx,PART,2
21,xx,PRON,7
22,xx,VERB,2
23,xxx,ADV,2
24,xxx,AUX,3
25,xxx,CCONJ,6
26,xxx,DET,11
27,xxx,PRON,2
28,xxx,VERB,2
29,xxxx,ADJ,19
30,xxxx,ADP,6
31,xxxx,ADV,18
32,xxxx,AUX,1
33,xxxx,DET,2
34,xxxx,NOUN,36
35,xxxx,SCONJ,5
36,xxxx,VERB,11
