,shape,pos,count
0,'x,PART,2
1,",",PUNCT,14
2,.,PUNCT,7
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxx,DET,1
6,Xxxx,ADV,3
7,Xxxxx,PROPN,5
8,Xxxxx,SCONJ,1
9,other.,NUM,1
10,other.,PART,1
11,other.,PUNCT,1
12,x,DET,2
13,xx,ADP,19
14,xx,ADV,1
15,xx,AUX,1
16,xx,DET,1
17,xx,PART,4
18,xx,PRON,8
19,xxx,ADJ,1
20,xxx,ADP,1
21,xxx,ADV,1
22,xxx,AUX,5
23,xxx,CCONJ,8
24,xxx,DET,12
25,xxx,NOUN,4
26,xxx,PRON,5
27,xxx,VERB,2
28,xxxx,ADJ,18
29,xxxx,ADP,10
30,xxxx,ADV,7
31,xxxx,AUX,3
32,xxxx,CCONJ,1
33,xxxx,DET,4
34,xxxx,NOUN,37
35,xxxx,NUM,1
36,xxxx,PRON,3
37,xxxx,SCONJ,3
38,xxxx,VERB,17
