,shape,pos,count
0,",",PUNCT,11
1,.,PUNCT,9
2,Xx,PRON,2
3,Xxx,DET,4
4,Xxxx,ADV,1
5,Xxxx,DET,1
6,Xxxx,PROPN,1
7,Xxxxx,ADJ,2
8,Xxxxx,ADV,1
9,Xxxxx,PROPN,6
10,other.,PUNCT,3
11,other.,VERB,1
12,x,DET,5
13,xx,ADP,16
14,xx,ADV,1
15,xx,AUX,1
16,xx,CCONJ,2
17,xx,PART,3
18,xx,PRON,4
19,xx,VERB,2
20,xxx,ADJ,1
21,xxx,ADP,3
22,xxx,ADV,1
23,xxx,AUX,1
24,xxx,CCONJ,5
25,xxx,DET,15
26,xxx,NOUN,1
27,xxx,NUM,5
28,xxx,PRON,6
29,xxx,VERB,3
30,xxxx,ADJ,9
31,xxxx,ADP,5
32,xxxx,ADV,9
33,xxxx,AUX,5
34,xxxx,DET,1
35,xxxx,NOUN,37
36,xxxx,PRON,5
37,xxxx,SCONJ,2
38,xxxx,VERB,23
39,"xxxx!""Xxx",DET,1
