,shape,pos,count
0,"""X",PUNCT,1
1,"""Xxxxx",NOUN,1
2,'xx,AUX,1
3,'xxxx,ADP,1
4,",",PUNCT,10
5,.,PUNCT,7
6,X,PRON,4
7,Xx,PRON,1
8,Xx,SCONJ,1
9,Xxxx,DET,2
10,Xxxx,PROPN,1
11,Xxxxx,ADJ,1
12,Xxxxx,PROPN,3
13,other.,PUNCT,12
14,x,DET,4
15,x'x,PART,2
16,xx,ADP,12
17,xx,ADV,3
18,xx,AUX,4
19,xx,CCONJ,1
20,xx,PART,4
21,xx,PRON,3
22,xx,SCONJ,1
23,xxx,ADP,1
24,xxx,ADV,1
25,xxx,AUX,7
26,xxx,CCONJ,6
27,xxx,DET,13
28,xxx,NUM,1
29,xxx,PART,2
30,xxx,PRON,11
31,xxx,VERB,3
32,xxxx,ADJ,14
33,xxxx,ADP,1
34,xxxx,ADV,11
35,xxxx,AUX,4
36,xxxx,CCONJ,1
37,xxxx,DET,5
38,xxxx,INTJ,1
39,xxxx,NOUN,28
40,xxxx,PRON,1
41,xxxx,SCONJ,3
42,xxxx,VERB,23
