,shape,pos,count
0,'x,VERB,1
1,",",PUNCT,7
2,.,PUNCT,5
3,Xx,AUX,6
4,Xx,PRON,1
5,Xxx,DET,1
6,Xxxx,PRON,1
7,Xxxxx,ADJ,1
8,Xxxxx,PRON,1
9,Xxxxx,SCONJ,1
10,other.,PUNCT,12
11,x,DET,4
12,x,NOUN,2
13,x,X,1
14,xx,ADP,8
15,xx,ADV,3
16,xx,AUX,3
17,xx,CCONJ,1
18,xx,PART,8
19,xx,VERB,3
20,xxx,ADJ,1
21,xxx,ADP,5
22,xxx,ADV,1
23,xxx,AUX,1
24,xxx,CCONJ,7
25,xxx,DET,3
26,xxx,NOUN,3
27,xxx,PRON,2
28,xxx,VERB,1
29,xxxx,ADJ,11
30,xxxx,ADP,8
31,xxxx,ADV,9
32,xxxx,AUX,1
33,xxxx,DET,4
34,xxxx,NOUN,35
35,xxxx,PRON,15
36,xxxx,SCONJ,3
37,xxxx,VERB,32
