,shape,pos,count
0,'x,AUX,1
1,",",PUNCT,16
2,.,PUNCT,6
3,Xx,PRON,2
4,Xxx,ADP,1
5,Xxx,NUM,1
6,Xxxx,DET,1
7,Xxxx,PROPN,3
8,Xxxxx,ADV,1
9,Xxxxx,PROPN,2
10,other.,PUNCT,3
11,x,DET,4
12,x'x,PART,1
13,xx,ADP,12
14,xx,ADV,1
15,xx,CCONJ,2
16,xx,DET,1
17,xx,PART,1
18,xx,PRON,11
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADP,2
22,xxx,ADV,1
23,xxx,AUX,1
24,xxx,CCONJ,10
25,xxx,DET,9
26,xxx,PART,1
27,xxx,PRON,3
28,xxx,VERB,4
29,xxxx,ADJ,9
30,xxxx,ADP,8
31,xxxx,ADV,10
32,xxxx,AUX,3
33,xxxx,DET,3
34,xxxx,NOUN,30
35,xxxx,PRON,9
36,xxxx,SCONJ,2
37,xxxx,VERB,17
