,shape,pos,count
0,",",NUM,7
1,",",PUNCT,17
2,.,PUNCT,7
3,.,X,1
4,X.X.,PROPN,1
5,Xx,ADP,1
6,Xx,PRON,1
7,Xxx,DET,1
8,Xxx,PROPN,1
9,Xxxx,DET,2
10,Xxxx,PROPN,1
11,Xxxxx,NUM,1
12,Xxxxx,PROPN,15
13,Xxxxx,VERB,1
14,other.,NUM,3
15,other.,SYM,2
16,x,DET,3
17,xx,ADP,15
18,xx,AUX,1
19,xx,DET,1
20,xx,PART,2
21,xx,PRON,4
22,xx,VERB,1
23,xxx,ADJ,2
24,xxx,ADP,4
25,xxx,ADV,1
26,xxx,AUX,3
27,xxx,CCONJ,7
28,xxx,DET,10
29,xxx,NOUN,1
30,xxx,NUM,1
31,xxx,PRON,3
32,xxx,VERB,4
33,xxx,X,1
34,xxxx,ADJ,4
35,xxxx,ADP,3
36,xxxx,ADV,9
37,xxxx,AUX,1
38,xxxx,DET,4
39,xxxx,NOUN,34
40,xxxx,PRON,1
41,xxxx,VERB,8
