,shape,pos,count
0,",",PUNCT,5
1,.,PUNCT,8
2,X,DET,1
3,Xx,ADP,1
4,Xx,DET,1
5,XxX,NOUN,3
6,Xxx,DET,1
7,Xxxx,ADJ,1
8,Xxxxx,ADV,1
9,Xxxxx,PROPN,6
10,Xxxxx,VERB,1
11,other.,ADJ,1
12,other.,NUM,1
13,other.,PUNCT,6
14,x,DET,8
15,xx,ADP,16
16,xx,AUX,8
17,xx,CCONJ,3
18,xx,PART,2
19,xx,PRON,2
20,xxx,ADJ,2
21,xxx,ADP,4
22,xxx,ADV,1
23,xxx,AUX,1
24,xxx,CCONJ,4
25,xxx,DET,6
26,xxx,NOUN,1
27,xxx,PRON,1
28,xxxx,ADJ,19
29,xxxx,ADP,1
30,xxxx,ADV,4
31,xxxx,DET,3
32,xxxx,NOUN,44
33,xxxx,PRON,1
34,xxxx,SCONJ,1
35,xxxx,VERB,19
