,shape,pos,count
0,",",NUM,1
1,",",PUNCT,20
2,.,PUNCT,5
3,Xxx,DET,2
4,Xxxx,AUX,1
5,Xxxxx,ADV,1
6,Xxxxx,NOUN,1
7,Xxxxx,PRON,1
8,Xxxxx,VERB,1
9,other.,PUNCT,4
10,x,DET,5
11,xx,ADP,25
12,xx,ADV,1
13,xx,AUX,3
14,xx,CCONJ,3
15,xx,DET,2
16,xx,PART,3
17,xx,PRON,3
18,xx,VERB,1
19,xxx,ADP,1
20,xxx,ADV,1
21,xxx,AUX,5
22,xxx,CCONJ,4
23,xxx,DET,10
24,xxx,NUM,1
25,xxx,PART,1
26,xxx,PRON,1
27,xxx,VERB,2
28,xxxx,ADJ,15
29,xxxx,ADP,3
30,xxxx,ADV,11
31,xxxx,AUX,6
32,xxxx,DET,7
33,xxxx,NOUN,50
34,xxxx,PRON,4
35,xxxx,SCONJ,3
36,xxxx,VERB,24
