,shape,pos,count
0,'x,AUX,1
1,",",PUNCT,16
2,.,PUNCT,4
3,X,PRON,1
4,Xx,PRON,1
5,Xxx,NUM,1
6,Xxxx,ADV,1
7,Xxxx,PRON,1
8,Xxxxx,PROPN,2
9,other.,PUNCT,6
10,x,DET,1
11,xx,ADP,15
12,xx,AUX,1
13,xx,CCONJ,3
14,xx,PART,3
15,xx,PRON,4
16,xx,SCONJ,3
17,xxx,ADP,2
18,xxx,AUX,2
19,xxx,CCONJ,10
20,xxx,DET,7
21,xxx,NOUN,3
22,xxx,NUM,2
23,xxx,PART,1
24,xxx,PRON,1
25,xxx,SCONJ,2
26,xxx,VERB,4
27,xxxx,ADJ,9
28,xxxx,ADP,5
29,xxxx,ADV,9
30,xxxx,AUX,4
31,xxxx,NOUN,21
32,xxxx,NUM,1
33,xxxx,PRON,25
34,xxxx,SCONJ,5
35,xxxx,VERB,27
