,shape,pos,count
0,"""Xxxx",DET,1
1,"""Xxxx",PRON,1
2,"""Xxxxx",INTJ,1
3,'x,AUX,2
4,'x,PART,1
5,",",PUNCT,7
6,.,PUNCT,5
7,X,PRON,2
8,Xxx,VERB,1
9,Xxxx,PRON,1
10,Xxxx,PROPN,2
11,Xxxxx,ADV,1
12,Xxxxx,PROPN,12
13,other.,PUNCT,11
14,x,DET,6
15,xx,ADP,11
16,xx,AUX,1
17,xx,CCONJ,1
18,xx,PRON,3
19,xxx,ADP,4
20,xxx,AUX,7
21,xxx,CCONJ,3
22,xxx,DET,10
23,xxx,NOUN,1
24,xxx,PART,1
25,xxx,PRON,3
26,xxx,PROPN,1
27,xxx,VERB,1
28,xxxx,ADJ,5
29,xxxx,ADP,11
30,xxxx,ADV,3
31,xxxx,AUX,1
32,xxxx,DET,5
33,xxxx,NOUN,25
34,xxxx,NUM,2
35,xxxx,PRON,3
36,xxxx,SCONJ,2
37,xxxx,VERB,14
