,shape,pos,count
0,'x,PART,1
1,",",PUNCT,8
2,.,PUNCT,9
3,XXXX,PROPN,2
4,Xxx,DET,1
5,Xxxx,ADJ,1
6,Xxxx,DET,2
7,Xxxx,PRON,1
8,Xxxxx,ADV,1
9,Xxxxx,NOUN,2
10,Xxxxx,SCONJ,1
11,other.,PUNCT,6
12,x,DET,2
13,x'x,PART,2
14,xx,ADP,14
15,xx,ADV,2
16,xx,AUX,4
17,xx,CCONJ,7
18,xx,NOUN,1
19,xx,PART,5
20,xx,PRON,7
21,xx,VERB,1
22,xxx,ADJ,3
23,xxx,ADP,3
24,xxx,ADV,1
25,xxx,AUX,4
26,xxx,CCONJ,4
27,xxx,DET,13
28,xxx,NOUN,3
29,xxx,PART,1
30,xxx,PRON,3
31,xxx,VERB,3
32,xxxx,ADJ,14
33,xxxx,ADP,8
34,xxxx,ADV,6
35,xxxx,AUX,1
36,xxxx,DET,6
37,xxxx,NOUN,40
38,xxxx,PRON,4
39,xxxx,SCONJ,3
40,xxxx,VERB,26
