,shape,pos,count
0,"""""Xx",PUNCT,1
1,"""Xxx",DET,1
2,"""Xxxx",PROPN,1
3,"""—Xxxx",PUNCT,1
4,",",PUNCT,15
5,.,PUNCT,15
6,X,DET,1
7,X,PRON,2
8,Xx,ADP,2
9,Xx,PRON,1
10,Xxx,VERB,1
11,Xxxx,ADV,1
12,Xxxx,PRON,1
13,Xxxxx,ADV,1
14,Xxxxx,PROPN,5
15,other.,PUNCT,11
16,x,DET,7
17,x'x,PART,1
18,xx,ADP,9
19,xx,AUX,1
20,xx,DET,1
21,xx,PART,2
22,xx,PRON,10
23,xx,VERB,1
24,xxx,ADJ,3
25,xxx,ADV,1
26,xxx,AUX,6
27,xxx,CCONJ,6
28,xxx,DET,8
29,xxx,NOUN,6
30,xxx,NUM,1
31,xxx,PART,1
32,xxx,PRON,8
33,xxx,VERB,3
34,xxxx,ADJ,19
35,xxxx,ADP,7
36,xxxx,ADV,8
37,xxxx,AUX,5
38,xxxx,DET,3
39,xxxx,NOUN,32
40,xxxx,PRON,6
41,xxxx,SCONJ,3
42,xxxx,VERB,23
43,"xxxx!""""X",NOUN,1
