,shape,pos,count
0,"""Xxx",INTJ,1
1,"""Xxx'x",PUNCT,1
2,'xx,AUX,1
3,'xx,VERB,1
4,",",PUNCT,10
5,.,PUNCT,9
6,Xxx,ADV,1
7,Xxx,DET,1
8,Xxx,PROPN,1
9,Xxxx,ADV,2
10,Xxxx,PROPN,2
11,Xxxx,VERB,1
12,Xxxxx,ADV,1
13,Xxxxx,PROPN,3
14,other.,PUNCT,6
15,x,DET,4
16,xx,ADP,20
17,xx,AUX,1
18,xx,PART,4
19,xx,PRON,5
20,xx,VERB,1
21,xxx,ADP,3
22,xxx,ADV,1
23,xxx,AUX,4
24,xxx,CCONJ,3
25,xxx,DET,16
26,xxx,NOUN,3
27,xxx,NUM,2
28,xxx,PART,2
29,xxx,PRON,6
30,xxx,VERB,1
31,"xxx!""X",PROPN,1
32,xxxx,ADJ,12
33,xxxx,ADP,2
34,xxxx,ADV,7
35,xxxx,AUX,5
36,xxxx,DET,3
37,xxxx,NOUN,39
38,xxxx,PRON,4
39,xxxx,SCONJ,3
40,xxxx,VERB,23
