,shape,pos,count
0,'x,PART,1
1,",",PUNCT,16
2,.,PUNCT,7
3,X,PRON,4
4,Xx,ADP,1
5,Xx,PRON,1
6,Xxx,PROPN,2
7,Xxxx,DET,1
8,Xxxx,PROPN,2
9,Xxxxx,ADP,1
10,Xxxxx,ADV,1
11,Xxxxx,PROPN,9
12,dddd.Xxxxx,NUM,1
13,other.,PUNCT,2
14,x,DET,5
15,xx,ADP,25
16,xx,ADV,3
17,xx,AUX,3
18,xx,CCONJ,1
19,xx,PART,2
20,xx,PRON,9
21,xx,VERB,2
22,xxx,ADP,1
23,xxx,ADV,2
24,xxx,AUX,3
25,xxx,CCONJ,4
26,xxx,DET,9
27,xxx,NOUN,3
28,xxx,NUM,2
29,xxx,PART,2
30,xxx,PRON,6
31,xxx,VERB,2
32,xxxx,ADJ,9
33,xxxx,ADP,5
34,xxxx,ADV,11
35,xxxx,AUX,2
36,xxxx,DET,3
37,xxxx,NOUN,26
38,xxxx,PRON,4
39,xxxx,SCONJ,2
40,xxxx,VERB,20
