,shape,pos,count
0,'x,PART,1
1,",",PUNCT,9
2,.,PUNCT,7
3,Xx,ADP,2
4,Xx,PRON,2
5,Xxx,ADP,1
6,Xxx,DET,1
7,Xxx,PROPN,1
8,Xxxxx,ADJ,4
9,Xxxxx,PROPN,5
10,other.,NUM,1
11,other.,PUNCT,3
12,x,DET,4
13,x'xxxx,NOUN,1
14,xx,ADP,23
15,xx,DET,1
16,xx,PART,3
17,xx,PRON,2
18,xxx,ADJ,1
19,xxx,ADP,1
20,xxx,ADV,1
21,xxx,AUX,4
22,xxx,CCONJ,3
23,xxx,DET,22
24,xxx,NOUN,6
25,xxx,NUM,2
26,xxx,VERB,4
27,xxxx,ADJ,7
28,xxxx,ADP,5
29,xxxx,ADV,9
30,xxxx,AUX,3
31,xxxx,DET,4
32,xxxx,NOUN,31
33,xxxx,NUM,3
34,xxxx,PRON,2
35,xxxx,SCONJ,2
36,xxxx,VERB,14
