,shape,pos,count
0,",",PUNCT,9
1,.,PUNCT,4
2,Xx,ADP,1
3,Xx,PRON,1
4,XxXXX,NOUN,1
5,Xxx,ADV,1
6,Xxx,CCONJ,1
7,Xxx,DET,1
8,Xxxx,AUX,1
9,Xxxxx,PROPN,2
10,Xxxxx,SCONJ,1
11,other.,PUNCT,5
12,x,DET,5
13,xx,ADP,20
14,xx,ADV,1
15,xx,AUX,2
16,xx,PART,2
17,xx,PRON,4
18,xx,SCONJ,1
19,xxx,ADJ,2
20,xxx,ADV,2
21,xxx,AUX,3
22,xxx,CCONJ,6
23,xxx,DET,11
24,xxx,NOUN,5
25,xxx,NUM,1
26,xxx,PRON,1
27,xxxx,ADJ,14
28,xxxx,ADP,2
29,xxxx,ADV,11
30,xxxx,AUX,6
31,xxxx,DET,3
32,xxxx,NOUN,45
33,xxxx,PRON,1
34,xxxx,SCONJ,1
35,xxxx,VERB,22
