,shape,pos,count
0,",",PUNCT,3
1,.,PUNCT,12
2,Xx,ADP,1
3,Xxx,DET,2
4,Xxx,NUM,1
5,Xxxx,ADV,1
6,Xxxx,DET,1
7,Xxxxx,ADJ,2
8,Xxxxx,ADP,1
9,Xxxxx,ADV,1
10,Xxxxx,DET,1
11,Xxxxx,NOUN,2
12,other.,PUNCT,3
13,x,DET,1
14,xx,ADP,9
15,xx,ADV,1
16,xx,AUX,7
17,xx,CCONJ,1
18,xx,DET,1
19,xx,PART,6
20,xx,PRON,2
21,xx,SCONJ,1
22,xx,VERB,3
23,xxx,ADV,1
24,xxx,AUX,6
25,xxx,CCONJ,3
26,xxx,DET,14
27,xxx,NUM,4
28,xxx,PART,1
29,xxx,VERB,1
30,xxxx,ADJ,17
31,xxxx,ADP,6
32,xxxx,ADV,5
33,xxxx,AUX,2
34,xxxx,DET,6
35,xxxx,NOUN,40
36,xxxx,PRON,1
37,xxxx,SCONJ,2
38,xxxx,VERB,24
39,xxxx.x,PUNCT,1
