,shape,pos,count
0,'xx,AUX,2
1,'xx,VERB,1
2,",",PUNCT,17
3,.,PUNCT,13
4,X,PRON,4
5,Xx,AUX,2
6,Xx,INTJ,1
7,Xxx,CCONJ,2
8,Xxx,DET,1
9,Xxx,PRON,4
10,Xxx.,PROPN,2
11,Xxxx,PRON,1
12,Xxxxx,PROPN,2
13,other.,PUNCT,13
14,x,DET,7
15,x'x,PART,5
16,xx,ADP,15
17,xx,AUX,3
18,xx,PART,2
19,xx,PRON,3
20,xx,VERB,1
21,xxx,AUX,6
22,xxx,CCONJ,5
23,xxx,DET,7
24,xxx,NOUN,3
25,xxx,NUM,1
26,xxx,PART,2
27,xxx,PRON,15
28,xxx,PROPN,1
29,xxx,VERB,2
30,xxxx,ADJ,14
31,xxxx,ADP,7
32,xxxx,ADV,14
33,xxxx,AUX,2
34,xxxx,DET,2
35,xxxx,NOUN,29
36,xxxx,NUM,1
37,xxxx,PRON,4
38,xxxx,SCONJ,1
39,xxxx,VERB,23
