,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,8
2,X,DET,1
3,XX,PROPN,1
4,XXX,NOUN,2
5,XXX,PROPN,1
6,XXXx,PROPN,1
7,Xx,ADP,2
8,Xxx,DET,2
9,Xxxx,PROPN,1
10,Xxxxx,NOUN,6
11,Xxxxx,PROPN,4
12,other.,NUM,2
13,other.,PUNCT,17
14,x,DET,6
15,xXXXx,X,1
16,xx,ADP,10
17,xx,AUX,2
18,xx,CCONJ,3
19,xx,DET,2
20,xx,PART,1
21,xx,VERB,1
22,xxXXXx,NOUN,1
23,xxx,ADJ,3
24,xxx,ADP,1
25,xxx,ADV,1
26,xxx,AUX,5
27,xxx,CCONJ,5
28,xxx,DET,13
29,xxx,NOUN,5
30,xxx,VERB,1
31,xxxx,ADJ,12
32,xxxx,ADP,1
33,xxxx,AUX,1
34,xxxx,DET,2
35,xxxx,NOUN,49
36,xxxx,NUM,1
37,xxxx,PRON,1
38,xxxx,VERB,14
