,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,10
2,X,NOUN,1
3,X.Xxxxx,PROPN,1
4,XXXxxxx,PROPN,1
5,Xx,PRON,2
6,Xxx,DET,1
7,Xxx,PROPN,2
8,Xxxx,ADJ,1
9,Xxxxx,ADJ,2
10,Xxxxx,ADV,1
11,Xxxxx,NOUN,1
12,Xxxxx,PRON,1
13,Xxxxx,PROPN,19
14,other.,NUM,3
15,other.,PUNCT,1
16,x,DET,5
17,xx,ADP,12
18,xx,ADV,1
19,xx,AUX,5
20,xx,PART,4
21,xx,PRON,2
22,xxx,ADP,1
23,xxx,ADV,2
24,xxx,AUX,6
25,xxx,CCONJ,6
26,xxx,DET,6
27,xxx,NUM,1
28,xxx,PART,1
29,xxx,PRON,1
30,xxx,VERB,1
31,xxxx,ADJ,7
32,xxxx,ADP,8
33,xxxx,ADV,8
34,xxxx,AUX,1
35,xxxx,DET,2
36,xxxx,NOUN,34
37,xxxx,PROPN,1
38,xxxx,VERB,22
