,shape,pos,count
0,",",PUNCT,10
1,.,PUNCT,12
2,X,PRON,3
3,Xx,PRON,1
4,Xxx,ADV,2
5,Xxx,DET,5
6,Xxx,NUM,1
7,Xxx,PRON,3
8,Xxxx,ADV,1
9,Xxxx,PRON,2
10,Xxxxx,ADV,2
11,Xxxxx,NOUN,2
12,Xxxxx,PRON,1
13,other.,PUNCT,17
14,x,DET,3
15,x,NOUN,3
16,x,X,1
17,xx,ADP,9
18,xx,AUX,5
19,xx,PART,3
20,xx,VERB,1
21,xxx,ADJ,2
22,xxx,ADP,1
23,xxx,ADV,3
24,xxx,AUX,8
25,xxx,CCONJ,5
26,xxx,DET,10
27,xxx,NOUN,5
28,xxx,PRON,17
29,xxx,VERB,5
30,xxxx,ADJ,8
31,xxxx,ADP,4
32,xxxx,ADV,6
33,xxxx,AUX,3
34,xxxx,DET,1
35,xxxx,NOUN,22
36,xxxx,PRON,4
37,xxxx,SCONJ,1
38,xxxx,VERB,26
