,shape,pos,count
0,"""Xx",PUNCT,1
1,",",PUNCT,11
2,.,PUNCT,8
3,X,PRON,1
4,Xx,PRON,1
5,Xxx,CCONJ,2
6,Xxx,PRON,1
7,Xxxx,ADJ,1
8,Xxxx,DET,1
9,Xxxx,PROPN,4
10,Xxxx,SCONJ,1
11,Xxxxx,NOUN,1
12,other.,PUNCT,13
13,x,DET,7
14,x'x,PART,3
15,xx,ADP,9
16,xx,PART,4
17,xx,PRON,6
18,xx,VERB,1
19,xxx,ADP,1
20,xxx,ADV,1
21,xxx,AUX,5
22,xxx,CCONJ,8
23,xxx,DET,9
24,xxx,NOUN,3
25,xxx,NUM,1
26,xxx,PRON,9
27,xxx,VERB,2
28,xxxx,ADJ,14
29,xxxx,ADP,6
30,xxxx,ADV,3
31,xxxx,AUX,2
32,xxxx,DET,2
33,xxxx,NOUN,19
34,xxxx,PRON,1
35,xxxx,VERB,25
