,shape,pos,count
0,",",PUNCT,18
1,.,PUNCT,14
2,X,PRON,1
3,Xx,ADV,1
4,Xx,PRON,4
5,Xx,SCONJ,1
6,Xxx,CCONJ,3
7,Xxx,PRON,1
8,Xxxx,ADV,3
9,Xxxxx,ADV,1
10,Xxxxx,VERB,1
11,other.,PUNCT,6
12,x,DET,14
13,x'x,PART,1
14,xx,ADP,9
15,xx,PART,4
16,xx,PRON,11
17,xx,VERB,1
18,xxx,ADJ,2
19,xxx,AUX,4
20,xxx,CCONJ,6
21,xxx,DET,7
22,xxx,NOUN,4
23,xxx,NUM,4
24,xxx,PART,1
25,xxx,PRON,13
26,xxx,VERB,6
27,xxxx,ADJ,11
28,xxxx,ADP,9
29,xxxx,ADV,7
30,xxxx,AUX,2
31,xxxx,DET,1
32,xxxx,NOUN,32
33,xxxx,PRON,5
34,xxxx,SCONJ,2
35,xxxx,VERB,25
