,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,7
2,XX,PROPN,2
3,Xx,SCONJ,1
4,Xxx,ADP,1
5,Xxx,DET,2
6,Xxxxx,NOUN,3
7,other.,NUM,3
8,other.,PUNCT,19
9,other.,SYM,2
10,x,DET,10
11,x,NOUN,1
12,x,PROPN,1
13,x,VERB,1
14,x.x.,ADV,1
15,xx,ADP,19
16,xx,AUX,9
17,xx,CCONJ,2
18,xx,DET,3
19,xx,NOUN,1
20,xx,PART,2
21,xx,PRON,1
22,xx,VERB,3
23,xxx,ADP,3
24,xxx,AUX,1
25,xxx,CCONJ,4
26,xxx,DET,7
27,xxx,PART,1
28,xxx,PRON,2
29,xxx,VERB,1
30,xxxx,ADJ,11
31,xxxx,ADP,1
32,xxxx,ADV,1
33,xxxx,CCONJ,1
34,xxxx,DET,3
35,xxxx,NOUN,48
36,xxxx,PRON,1
37,xxxx,SCONJ,1
38,xxxx,VERB,10
39,x·x-d,NOUN,1
