,shape,pos,count
0,",",PUNCT,12
1,.,PUNCT,10
2,Xx,PART,1
3,Xx,PRON,1
4,Xx,SCONJ,1
5,Xxx,DET,1
6,Xxx,PRON,2
7,Xxx,VERB,4
8,Xxxxx,ADJ,1
9,Xxxxx,PROPN,4
10,x,DET,2
11,xx,ADP,23
12,xx,ADV,3
13,xx,AUX,1
14,xx,PART,4
15,xx,PRON,9
16,xx,VERB,4
17,xxx,ADV,2
18,xxx,AUX,4
19,xxx,CCONJ,4
20,xxx,DET,20
21,xxx,NOUN,4
22,xxx,NUM,1
23,xxx,PART,2
24,xxx,PRON,4
25,xxx,SCONJ,1
26,xxx,VERB,1
27,xxxx,ADJ,10
28,xxxx,ADP,6
29,xxxx,ADV,6
30,xxxx,AUX,4
31,xxxx,DET,2
32,xxxx,NOUN,34
33,xxxx,NUM,1
34,xxxx,SCONJ,3
35,xxxx,VERB,18
