,shape,pos,count
0,",",PUNCT,13
1,.,PUNCT,9
2,Xx,ADP,1
3,Xxx,DET,1
4,Xxxx,ADV,1
5,Xxxx,DET,1
6,Xxxx,PRON,1
7,Xxxxx,ADV,1
8,Xxxxx,DET,3
9,Xxxxx,PROPN,1
10,other.,PUNCT,5
11,x,DET,4
12,xx,ADP,13
13,xx,AUX,3
14,xx,CCONJ,2
15,xx,DET,1
16,xx,PART,5
17,xx,PRON,3
18,xx,VERB,2
19,xxx,ADJ,1
20,xxx,ADP,2
21,xxx,AUX,3
22,xxx,CCONJ,6
23,xxx,DET,13
24,xxx,NOUN,1
25,xxx,PART,1
26,xxx,PRON,2
27,xxx,SCONJ,1
28,xxx,VERB,3
29,xxxx,ADJ,7
30,xxxx,ADP,2
31,xxxx,ADV,1
32,xxxx,DET,4
33,xxxx,NOUN,38
34,xxxx,PRON,4
35,xxxx,SCONJ,1
36,xxxx,VERB,21
