,shape,pos,count
0,'x,PART,1
1,",",PUNCT,14
2,.,PUNCT,6
3,X,DET,1
4,Xx,ADP,1
5,Xxx,DET,1
6,Xxxxx,PRON,2
7,Xxxxx,PROPN,2
8,other.,PUNCT,7
9,x,DET,11
10,xx,ADP,16
11,xx,AUX,1
12,xx,DET,2
13,xx,INTJ,1
14,xx,PART,2
15,xx,PRON,1
16,xx,SCONJ,1
17,xx,VERB,1
18,xxx,ADJ,1
19,xxx,AUX,4
20,xxx,CCONJ,13
21,xxx,DET,10
22,xxx,NOUN,2
23,xxx,NUM,1
24,xxx,VERB,1
25,xxxx,ADJ,21
26,xxxx,ADP,9
27,xxxx,ADV,8
28,xxxx,AUX,2
29,xxxx,DET,4
30,xxxx,NOUN,47
31,xxxx,NUM,1
32,xxxx,PRON,3
33,xxxx,SCONJ,2
34,xxxx,VERB,19
35,"xxxx,—xxxx",PROPN,1
