,shape,pos,count
0,'x,PART,1
1,",",PUNCT,12
2,.,PUNCT,8
3,X,PRON,1
4,Xx,PRON,2
5,Xxx,CCONJ,1
6,Xxx,DET,2
7,Xxx,PRON,1
8,Xxx,PROPN,1
9,Xxxx,PROPN,3
10,Xxxxx,ADV,1
11,Xxxxx,PROPN,12
12,other.,NUM,1
13,other.,PUNCT,5
14,x,DET,11
15,xx,ADP,19
16,xx,AUX,2
17,xx,PRON,1
18,xx,VERB,1
19,xxx,ADJ,1
20,xxx,ADV,2
21,xxx,AUX,3
22,xxx,CCONJ,8
23,xxx,DET,8
24,xxx,NUM,1
25,xxx,PART,2
26,xxx,PRON,2
27,xxx,VERB,3
28,xxxx,ADJ,17
29,xxxx,ADP,3
30,xxxx,ADV,8
31,xxxx,AUX,3
32,xxxx,DET,2
33,xxxx,NOUN,37
34,xxxx,NUM,1
35,xxxx,PRON,4
36,xxxx,VERB,10
