,shape,pos,count
0,",",PUNCT,3
1,.,PUNCT,9
2,Xx,ADV,1
3,Xxx,CCONJ,2
4,Xxx,DET,1
5,Xxx,PRON,1
6,Xxxx,ADJ,1
7,Xxxx,PRON,1
8,Xxxx,PROPN,3
9,Xxxxx,NOUN,1
10,Xxxxx,PRON,1
11,Xxxxx,PROPN,2
12,other.,PUNCT,4
13,x,DET,3
14,xx,ADP,14
15,xx,ADV,1
16,xx,DET,1
17,xx,PART,2
18,xx,PRON,7
19,xx,VERB,3
20,xxx,ADJ,1
21,xxx,ADP,2
22,xxx,ADV,3
23,xxx,AUX,7
24,xxx,CCONJ,4
25,xxx,DET,7
26,xxx,NOUN,1
27,xxx,PRON,4
28,xxx,VERB,2
29,xxxx,ADJ,10
30,xxxx,ADP,2
31,xxxx,ADV,11
32,xxxx,AUX,4
33,xxxx,DET,5
34,xxxx,NOUN,24
35,xxxx,PRON,3
36,xxxx,SCONJ,1
37,xxxx,VERB,17
