,shape,pos,count
0,'x,PART,1
1,",",PUNCT,15
2,.,PUNCT,5
3,X,PRON,6
4,Xxx,ADP,1
5,Xxx,CCONJ,1
6,Xxx,VERB,1
7,Xxxx,ADV,1
8,Xxxxx,PROPN,1
9,other.,PUNCT,5
10,x,DET,4
11,xx,ADP,25
12,xx,AUX,1
13,xx,CCONJ,1
14,xx,PART,3
15,xx,PRON,8
16,xx,VERB,2
17,xxx,ADJ,2
18,xxx,ADP,3
19,xxx,ADV,2
20,xxx,AUX,4
21,xxx,CCONJ,4
22,xxx,DET,8
23,xxx,NUM,1
24,xxx,PART,3
25,xxx,PRON,2
26,xxx,VERB,2
27,xxxx,ADJ,18
28,xxxx,ADP,5
29,xxxx,ADV,4
30,xxxx,AUX,4
31,xxxx,DET,7
32,xxxx,NOUN,34
33,xxxx,NUM,1
34,xxxx,PRON,1
35,xxxx,SCONJ,1
36,xxxx,VERB,16
