,shape,pos,count
0,'x,PART,2
1,",",PUNCT,13
2,.,PUNCT,6
3,X,PRON,2
4,Xx,PRON,1
5,Xxx,ADP,2
6,Xxx,DET,2
7,Xxxx,DET,1
8,Xxxx,PROPN,2
9,Xxxxx,PROPN,6
10,other.,PUNCT,8
11,x,DET,3
12,xx,ADP,20
13,xx,ADV,1
14,xx,DET,1
15,xx,PART,8
16,xx,PRON,8
17,xx,VERB,1
18,xxx,ADJ,1
19,xxx,ADV,1
20,xxx,AUX,6
21,xxx,CCONJ,7
22,xxx,DET,12
23,xxx,NOUN,3
24,xxx,NUM,1
25,xxx,PRON,4
26,xxx,VERB,5
27,xxxx,ADJ,14
28,xxxx,ADP,1
29,xxxx,ADV,9
30,xxxx,AUX,8
31,xxxx,DET,3
32,xxxx,NOUN,26
33,xxxx,PRON,7
34,xxxx,SCONJ,2
35,xxxx,VERB,21
