,shape,pos,count
0,",",NUM,3
1,",",PUNCT,14
2,.,PUNCT,10
3,X,DET,3
4,Xxx,DET,3
5,Xxxxx,ADV,1
6,Xxxxx,PROPN,2
7,d½x,NUM,1
8,other.,NUM,4
9,other.,PUNCT,7
10,other.,SYM,1
11,x,DET,2
12,xx,ADJ,1
13,xx,ADP,20
14,xx,AUX,6
15,xx,DET,1
16,xx,PART,2
17,xx,PRON,1
18,xx,SCONJ,1
19,xx,VERB,4
20,xxx,ADJ,1
21,xxx,ADP,4
22,xxx,AUX,6
23,xxx,CCONJ,4
24,xxx,DET,13
25,xxx,NOUN,3
26,xxx,NUM,3
27,xxx,PART,2
28,xxx,VERB,2
29,xxxx,ADJ,12
30,xxxx,ADP,7
31,xxxx,ADV,6
32,xxxx,AUX,4
33,xxxx,DET,6
34,xxxx,NOUN,49
35,xxxx,SCONJ,1
36,xxxx,VERB,21
37,½x,ADP,1
