,shape,pos,count
0,"""Xxx",PUNCT,1
1,'x,PART,2
2,",",PUNCT,7
3,.,PUNCT,9
4,X,PRON,1
5,Xx,PRON,2
6,Xxx,DET,1
7,Xxx.,PROPN,1
8,Xxxx,PRON,2
9,Xxxx,PROPN,1
10,Xxxxx,NOUN,1
11,Xxxxx,PROPN,8
12,other.,PUNCT,7
13,x,DET,2
14,xx,ADP,11
15,xx,ADV,1
16,xx,AUX,1
17,xx,DET,1
18,xx,NOUN,1
19,xx,PART,5
20,xx,PRON,8
21,xx,VERB,2
22,xxx,ADP,1
23,xxx,AUX,6
24,xxx,CCONJ,5
25,xxx,DET,7
26,xxx,NOUN,2
27,xxx,NUM,1
28,xxx,PART,1
29,xxx,PRON,3
30,xxx,SCONJ,1
31,xxx,VERB,3
32,xxxx,ADJ,5
33,xxxx,ADP,5
34,xxxx,ADV,5
35,xxxx,AUX,3
36,xxxx,DET,4
37,xxxx,NOUN,21
38,xxxx,PRON,2
39,xxxx,SCONJ,1
40,xxxx,VERB,17
