,shape,pos,count
0,"""Xxxx",VERB,1
1,"""Xxxxx",PUNCT,1
2,'x,PART,3
3,",",PUNCT,13
4,.,PUNCT,8
5,X,PRON,1
6,Xx,PRON,1
7,Xx,PROPN,1
8,Xx.,PROPN,2
9,Xxx,CCONJ,1
10,Xxx,PRON,1
11,Xxx.,PROPN,1
12,Xxxx,ADV,1
13,Xxxx,PROPN,6
14,Xxxx,VERB,1
15,Xxxxx,ADV,1
16,Xxxxx,PROPN,10
17,other.,PUNCT,6
18,x,DET,1
19,xx,ADP,16
20,xx,ADV,1
21,xx,CCONJ,1
22,xx,DET,2
23,xx,PART,2
24,xx,PRON,4
25,xx,VERB,1
26,xxx,ADP,3
27,xxx,AUX,2
28,xxx,CCONJ,7
29,xxx,DET,8
30,xxx,NOUN,3
31,xxx,PRON,5
32,xxx,VERB,1
33,xxxx,ADJ,11
34,xxxx,ADP,5
35,xxxx,ADV,7
36,xxxx,AUX,7
37,xxxx,DET,2
38,xxxx,NOUN,17
39,xxxx,PRON,5
40,xxxx,SCONJ,2
41,xxxx,VERB,21
