,shape,pos,count
0,'x,AUX,1
1,'x,PART,1
2,'xx,AUX,1
3,",",PUNCT,9
4,.,PUNCT,10
5,X,PRON,3
6,Xx,ADP,1
7,Xx,PRON,4
8,Xxx,CCONJ,2
9,Xxx,DET,1
10,Xxx,NUM,1
11,Xxxx,ADV,1
12,Xxxxx,AUX,1
13,Xxxxx,DET,1
14,Xxxxx,PROPN,8
15,other.,PUNCT,10
16,x,DET,3
17,x'x,PART,1
18,xx,ADP,15
19,xx,ADV,2
20,xx,DET,1
21,xx,PART,3
22,xx,PRON,13
23,xx,SCONJ,1
24,xx,VERB,2
25,xxx,ADJ,1
26,xxx,AUX,5
27,xxx,CCONJ,4
28,xxx,DET,24
29,xxx,NOUN,14
30,xxx,NUM,1
31,xxx,PRON,4
32,xxx,SCONJ,1
33,xxx,VERB,2
34,xxxx,ADJ,9
35,xxxx,ADP,3
36,xxxx,ADV,6
37,xxxx,AUX,2
38,xxxx,DET,1
39,xxxx,NOUN,24
40,xxxx,PRON,3
41,xxxx,SCONJ,3
42,xxxx,VERB,27
