,shape,pos,count
0,'x,AUX,6
1,'x,VERB,2
2,'xx,AUX,1
3,",",PUNCT,11
4,.,PUNCT,11
5,X,PRON,9
6,Xx,PRON,1
7,Xx,SCONJ,1
8,Xxx,NUM,1
9,Xxx,PRON,2
10,Xxx,VERB,1
11,Xxxx,DET,1
12,Xxxx,INTJ,1
13,Xxxxx,PRON,3
14,other.,PUNCT,2
15,x,DET,6
16,x'x,PART,4
17,xx,ADP,8
18,xx,ADV,1
19,xx,AUX,3
20,xx,DET,1
21,xx,PART,5
22,xx,PRON,11
23,xx,VERB,6
24,xxx,ADP,1
25,xxx,ADV,2
26,xxx,AUX,4
27,xxx,CCONJ,5
28,xxx,DET,11
29,xxx,NOUN,4
30,xxx,NUM,2
31,xxx,PRON,4
32,xxx,VERB,7
33,xxxx,ADJ,14
34,xxxx,ADP,7
35,xxxx,ADV,9
36,xxxx,AUX,3
37,xxxx,DET,3
38,xxxx,NOUN,21
39,xxxx,PRON,5
40,xxxx,SCONJ,5
41,xxxx,VERB,13
