,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,6
2,X,PRON,6
3,Xx,ADP,1
4,Xx,PRON,1
5,Xxxxx,ADP,1
6,Xxxxx,PROPN,4
7,Xxxxx,VERB,1
8,other.,PUNCT,4
9,x,DET,4
10,xx,ADP,14
11,xx,ADV,1
12,xx,AUX,1
13,xx,CCONJ,1
14,xx,DET,1
15,xx,PART,4
16,xx,PRON,8
17,xx,SCONJ,1
18,xxx,ADJ,1
19,xxx,ADP,1
20,xxx,ADV,1
21,xxx,AUX,3
22,xxx,CCONJ,2
23,xxx,DET,6
24,xxx,NOUN,3
25,xxx,NUM,4
26,xxx,PRON,2
27,xxx,VERB,3
28,xxxx,ADJ,13
29,xxxx,ADP,4
30,xxxx,ADV,5
31,xxxx,AUX,3
32,xxxx,DET,6
33,xxxx,NOUN,31
34,xxxx,PRON,3
35,xxxx,SCONJ,2
36,xxxx,VERB,17
