,shape,pos,count
0,'x,PART,1
1,",",PUNCT,8
2,.,PUNCT,12
3,Xx,ADP,2
4,Xx,AUX,1
5,Xx,PRON,3
6,Xxx,NUM,2
7,Xxxx,ADP,1
8,Xxxxx,ADV,1
9,Xxxxx,PROPN,7
10,Xxxxx,SCONJ,1
11,x,DET,4
12,xx,ADP,10
13,xx,ADV,1
14,xx,DET,1
15,xx,PART,3
16,xx,PRON,9
17,xx,VERB,2
18,xxx,ADJ,3
19,xxx,ADP,2
20,xxx,AUX,8
21,xxx,CCONJ,7
22,xxx,DET,4
23,xxx,NOUN,2
24,xxx,PRON,6
25,xxx,VERB,2
26,xxx?Xx,ADV,1
27,xxxx,ADJ,6
28,xxxx,ADP,2
29,xxxx,ADV,7
30,xxxx,DET,3
31,xxxx,NOUN,28
32,xxxx,NUM,3
33,xxxx,PRON,1
34,xxxx,SCONJ,1
35,xxxx,VERB,18
