,shape,pos,count
0,'x,PART,2
1,",",PUNCT,16
2,.,PUNCT,5
3,Xx.,PROPN,1
4,Xxx,DET,3
5,Xxx,PROPN,1
6,Xxxx,PRON,1
7,Xxxx,PROPN,2
8,Xxxxx,ADJ,2
9,Xxxxx,ADV,1
10,Xxxxx,NOUN,1
11,Xxxxx,PROPN,16
12,other.,PUNCT,6
13,x,DET,2
14,xx,ADP,22
15,xx,ADV,2
16,xx,CCONJ,1
17,xx,DET,1
18,xx,PART,4
19,xx,PRON,3
20,xx,VERB,2
21,xxx,ADP,2
22,xxx,ADV,1
23,xxx,AUX,5
24,xxx,CCONJ,6
25,xxx,DET,13
26,xxx,NOUN,1
27,xxx,VERB,4
28,xxxx,ADJ,11
29,xxxx,ADP,3
30,xxxx,ADV,7
31,xxxx,AUX,4
32,xxxx,DET,6
33,xxxx,NOUN,26
34,xxxx,PRON,9
35,xxxx,SCONJ,6
36,xxxx,VERB,15
