,shape,pos,count
0,",",PUNCT,8
1,.,PUNCT,7
2,X,DET,1
3,XXX,PROPN,1
4,Xx,PART,1
5,Xx,PRON,1
6,Xxx,CCONJ,1
7,Xxx,DET,2
8,Xxxx,ADV,1
9,Xxxxx,VERB,1
10,other.,PUNCT,2
11,x,DET,14
12,xx,ADP,16
13,xx,AUX,4
14,xx,CCONJ,3
15,xx,DET,1
16,xx,PART,1
17,xx,PRON,3
18,xx,VERB,2
19,xxx,ADP,1
20,xxx,AUX,2
21,xxx,CCONJ,2
22,xxx,DET,10
23,xxx,NOUN,1
24,xxx,PART,2
25,xxx,PRON,3
26,xxx,VERB,1
27,xxxx,ADJ,9
28,xxxx,ADP,6
29,xxxx,ADV,4
30,xxxx,AUX,2
31,xxxx,DET,2
32,xxxx,NOUN,40
33,xxxx,PRON,5
34,xxxx,SCONJ,1
35,xxxx,VERB,16
36,xxxx?Xxxxx,VERB,1
