,shape,pos,count
0,"""Xxxxx",PUNCT,1
1,'x,PART,1
2,",",PUNCT,6
3,.,PUNCT,20
4,Xx,PRON,6
5,Xxx,CCONJ,1
6,Xxx,DET,3
7,Xxx,NUM,1
8,Xxxx,ADV,1
9,Xxxx,PRON,2
10,Xxxx,PROPN,3
11,Xxxxx,ADP,1
12,Xxxxx,ADV,2
13,Xxxxx,PROPN,11
14,other.,PUNCT,2
15,x,DET,5
16,xx,ADP,15
17,xx,ADV,3
18,xx,PRON,2
19,xxx,ADJ,1
20,xxx,AUX,4
21,xxx,CCONJ,1
22,xxx,DET,10
23,xxx,NOUN,9
24,xxx,PART,2
25,xxx,PRON,2
26,xxx,VERB,5
27,xxxx,ADJ,6
28,xxxx,ADP,5
29,xxxx,ADV,6
30,xxxx,AUX,9
31,xxxx,DET,3
32,xxxx,NOUN,21
33,xxxx,PRON,11
34,xxxx,SCONJ,5
35,xxxx,VERB,17
