,shape,pos,count
0,",",PUNCT,19
1,.,PUNCT,7
2,X,PRON,1
3,Xx,PRON,1
4,Xx.,PROPN,4
5,Xxx,ADV,1
6,Xxx,DET,1
7,Xxx,PRON,2
8,Xxxx,PROPN,5
9,Xxxxx,NOUN,1
10,Xxxxx,PROPN,1
11,x,DET,9
12,xx,ADP,20
13,xx,AUX,1
14,xx,DET,2
15,xx,PART,3
16,xx,PRON,4
17,xx,SCONJ,1
18,xxx,ADV,1
19,xxx,AUX,7
20,xxx,CCONJ,6
21,xxx,DET,7
22,xxx,NOUN,1
23,xxx,NUM,1
24,xxx,PRON,5
25,xxx,VERB,2
26,xxxx,ADJ,15
27,xxxx,ADP,5
28,xxxx,ADV,9
29,xxxx,AUX,4
30,xxxx,DET,3
31,xxxx,NOUN,38
32,xxxx,NUM,1
33,xxxx,PRON,3
34,xxxx,SCONJ,3
35,xxxx,VERB,16
