,shape,pos,count
0,'x,PART,3
1,",",PUNCT,8
2,.,PUNCT,6
3,X,PRON,8
4,Xx,PRON,1
5,Xxx,CCONJ,1
6,Xxx,DET,1
7,Xxx,PROPN,2
8,"Xxx,—xxx",DET,1
9,Xxxx,PROPN,1
10,Xxxxx,PROPN,4
11,other.,PUNCT,1
12,x,DET,5
13,xx,ADP,10
14,xx,ADV,2
15,xx,PART,2
16,xx,PRON,9
17,xx,VERB,3
18,xxx,ADJ,1
19,xxx,ADP,1
20,xxx,ADV,1
21,xxx,AUX,12
22,xxx,CCONJ,10
23,xxx,DET,12
24,xxx,NOUN,4
25,xxx,PART,1
26,xxx,PRON,2
27,xxx,VERB,1
28,xxxx,ADJ,6
29,xxxx,ADP,9
30,xxxx,ADV,10
31,xxxx,AUX,5
32,xxxx,DET,1
33,xxxx,NOUN,33
34,xxxx,PRON,2
35,xxxx,SCONJ,2
36,xxxx,VERB,14
