,shape,pos,count
0,",",NUM,1
1,",",PUNCT,12
2,.,PUNCT,9
3,X,DET,1
4,Xxx,DET,3
5,Xxxx,ADJ,1
6,Xxxx,ADV,2
7,Xxxx,DET,1
8,Xxxxx,SCONJ,1
9,other.,NUM,2
10,other.,PUNCT,4
11,x,DET,3
12,xx,ADP,18
13,xx,ADV,2
14,xx,AUX,4
15,xx,CCONJ,1
16,xx,DET,1
17,xx,PART,1
18,xx,PRON,8
19,xx,SCONJ,1
20,xx,VERB,1
21,xxx,ADV,1
22,xxx,AUX,3
23,xxx,CCONJ,8
24,xxx,DET,9
25,xxx,NOUN,3
26,xxx,NUM,4
27,xxx,PRON,1
28,xxxx,ADJ,18
29,xxxx,ADP,3
30,xxxx,ADV,14
31,xxxx,AUX,2
32,xxxx,CCONJ,1
33,xxxx,DET,5
34,xxxx,NOUN,44
35,xxxx,NUM,1
36,xxxx,PRON,1
37,xxxx,SCONJ,4
38,xxxx,VERB,21
