,shape,pos,count
0,"""Xxx",NOUN,1
1,'x,AUX,1
2,",",PUNCT,13
3,.,PUNCT,6
4,Xxx,ADP,1
5,Xxx,ADV,1
6,Xxx,CCONJ,2
7,Xxx,DET,1
8,Xxxx,ADV,1
9,Xxxxx,PRON,1
10,Xxxxx,PROPN,3
11,other.,PUNCT,14
12,x,DET,7
13,x,NOUN,1
14,xx,ADP,19
15,xx,ADV,1
16,xx,AUX,1
17,xx,PRON,3
18,xxx,ADJ,1
19,xxx,ADP,2
20,xxx,ADV,1
21,xxx,AUX,4
22,xxx,CCONJ,4
23,xxx,DET,13
24,xxx,NOUN,6
25,xxx,PART,1
26,xxx,PRON,7
27,xxx,VERB,1
28,xxxx,ADJ,10
29,xxxx,ADP,6
30,xxxx,ADV,5
31,xxxx,AUX,5
32,xxxx,DET,7
33,xxxx,NOUN,43
34,xxxx,PRON,3
35,xxxx,SCONJ,1
36,xxxx,VERB,20
37,"xxxx?""Xxx",NOUN,1
