,shape,pos,count
0,'x,AUX,1
1,'x,PART,1
2,",",PUNCT,25
3,.,PUNCT,4
4,X,PRON,5
5,Xx,ADP,1
6,Xxx,ADV,1
7,Xxx,CCONJ,1
8,Xxx,DET,1
9,Xxxx,AUX,1
10,Xxxxx,DET,1
11,Xxxxx,PROPN,3
12,other.,PUNCT,9
13,x,DET,5
14,xx,ADP,14
15,xx,ADV,1
16,xx,AUX,1
17,xx,CCONJ,1
18,xx,DET,1
19,xx,PART,2
20,xx,PRON,7
21,xx,SCONJ,1
22,xx,VERB,5
23,"xx,—xxxx",VERB,1
24,xxx,ADJ,2
25,xxx,ADP,4
26,xxx,AUX,2
27,xxx,CCONJ,8
28,xxx,DET,8
29,xxx,INTJ,1
30,xxx,NUM,1
31,xxx,PART,2
32,xxx,PRON,11
33,xxx,VERB,3
34,xxxx,ADJ,5
35,xxxx,ADP,1
36,xxxx,ADV,10
37,xxxx,AUX,8
38,xxxx,NOUN,27
39,xxxx,PRON,6
40,xxxx,VERB,19
41,"xxxx?""""Xx",ADJ,1
42,"xxxx?""Xxx",ADJ,1
