,shape,pos,count
0,",",PUNCT,14
1,.,PUNCT,7
2,Xx,ADP,2
3,Xxx,DET,2
4,Xxx,PRON,1
5,Xxxx,DET,1
6,Xxxxx,PRON,1
7,other.,ADJ,2
8,other.,NUM,2
9,other.,PUNCT,10
10,x,DET,3
11,xx,ADP,13
12,xx,CCONJ,1
13,xx,DET,1
14,xx,PART,4
15,xx,PRON,1
16,xx,VERB,3
17,xxx,ADJ,2
18,xxx,AUX,4
19,xxx,CCONJ,4
20,xxx,DET,19
21,xxx,NOUN,2
22,xxx,NUM,2
23,xxx,PART,2
24,xxx,PRON,3
25,xxx,VERB,1
26,xxxx,ADJ,19
27,xxxx,ADP,9
28,xxxx,ADV,11
29,xxxx,AUX,5
30,xxxx,DET,4
31,xxxx,NOUN,45
32,xxxx,NUM,2
33,xxxx,PRON,1
34,xxxx,SCONJ,6
35,xxxx,VERB,17
