,shape,pos,count
0,",",PUNCT,13
1,.,NUM,1
2,.,PUNCT,8
3,XX,PROPN,4
4,XXX,PROPN,2
5,Xx,PRON,2
6,Xxx,DET,1
7,Xxxx,DET,2
8,Xxxxx,PRON,1
9,Xxxxx,PROPN,9
10,other.,NUM,5
11,other.,PUNCT,9
12,x,DET,4
13,xx,ADP,15
14,xx,AUX,10
15,xx,CCONJ,2
16,xx,PART,1
17,xx,PRON,2
18,xx,SCONJ,1
19,xxx,ADP,2
20,xxx,AUX,2
21,xxx,CCONJ,5
22,xxx,DET,7
23,xxx,NOUN,2
24,xxx,NUM,2
25,xxx,PART,1
26,xxx,VERB,2
27,xxxx,ADJ,8
28,xxxx,ADP,6
29,xxxx,ADV,10
30,xxxx,AUX,3
31,xxxx,DET,4
32,xxxx,NOUN,38
33,xxxx,NUM,4
34,xxxx,PRON,4
35,xxxx,PROPN,1
36,xxxx,SCONJ,5
37,xxxx,VERB,26
