,shape,pos,count
0,",",PUNCT,6
1,.,PUNCT,17
2,XXXx,PROPN,2
3,XXd,PROPN,6
4,Xx,PRON,3
5,Xxx,ADP,2
6,Xxx,DET,2
7,Xxx,NUM,1
8,Xxxx,ADV,2
9,Xxxx,AUX,1
10,Xxxx,DET,2
11,Xxxxx,NOUN,2
12,Xxxxx,VERB,1
13,other.,PUNCT,8
14,x,DET,4
15,xx,ADP,16
16,xx,AUX,9
17,xx,CCONJ,1
18,xx,PART,2
19,xx,PRON,4
20,xx,VERB,2
21,xxx,ADV,1
22,xxx,AUX,4
23,xxx,CCONJ,3
24,xxx,DET,15
25,xxx,NOUN,10
26,xxx,PRON,1
27,xxx,VERB,6
28,xxxx,ADJ,10
29,xxxx,ADP,7
30,xxxx,ADV,8
31,xxxx,DET,6
32,xxxx,NOUN,42
33,xxxx,PRON,2
34,xxxx,SCONJ,1
35,xxxx,VERB,21
