,shape,pos,count
0,"""""Xx",INTJ,1
1,"""""Xxx",PUNCT,1
2,"""Xxx",DET,1
3,'xx,AUX,1
4,",",PUNCT,11
5,.,PUNCT,9
6,X,PRON,4
7,Xx,INTJ,1
8,Xx,PRON,2
9,Xxx,ADV,2
10,Xxx,CCONJ,1
11,Xxx,DET,1
12,Xxx,PRON,1
13,Xxx,PROPN,1
14,Xxxx,PROPN,1
15,other.,PUNCT,10
16,x,DET,3
17,x'x,PART,1
18,xx,ADP,7
19,xx,AUX,4
20,xx,DET,1
21,xx,INTJ,1
22,xx,PART,3
23,xx,PRON,7
24,xx,SCONJ,1
25,xx,VERB,3
26,xxx,ADP,3
27,xxx,ADV,2
28,xxx,AUX,1
29,xxx,CCONJ,6
30,xxx,DET,5
31,xxx,NOUN,1
32,xxx,PART,1
33,xxx,PRON,8
34,xxx,SCONJ,1
35,xxx,VERB,2
36,xxxx,ADJ,13
37,xxxx,ADP,2
38,xxxx,ADV,10
39,xxxx,AUX,3
40,xxxx,DET,2
41,xxxx,NOUN,19
42,xxxx,NUM,1
43,xxxx,PRON,3
44,xxxx,SCONJ,1
45,xxxx,VERB,18
