,shape,pos,count
0,'x,PART,1
1,",",PUNCT,13
2,.,PUNCT,10
3,Xx,ADP,1
4,Xx,PRON,1
5,Xx,SCONJ,1
6,Xxx,CCONJ,1
7,Xxx,DET,3
8,Xxxx,PROPN,1
9,Xxxxx,ADJ,5
10,Xxxxx,ADV,2
11,Xxxxx,NOUN,1
12,Xxxxx,PROPN,13
13,other.,PUNCT,2
14,x,DET,3
15,xx,ADP,22
16,xx,ADV,2
17,xx,AUX,6
18,xx,CCONJ,1
19,xx,DET,1
20,xx,PART,2
21,xx,PRON,3
22,xx,SCONJ,1
23,xx,VERB,1
24,xxx,ADP,2
25,xxx,ADV,1
26,xxx,AUX,2
27,xxx,CCONJ,6
28,xxx,DET,19
29,xxx,NOUN,2
30,xxx,PART,2
31,xxx,PRON,1
32,xxx,VERB,1
33,xxxx,ADJ,17
34,xxxx,ADP,5
35,xxxx,ADV,2
36,xxxx,AUX,1
37,xxxx,DET,4
38,xxxx,INTJ,1
39,xxxx,NOUN,35
40,xxxx,PRON,1
41,xxxx,SCONJ,2
42,xxxx,VERB,11
