,shape,pos,count
0,"""Xx",PRON,1
1,'x,AUX,3
2,'x,PART,1
3,",",PUNCT,2
4,.,PUNCT,12
5,Xx,DET,1
6,Xx,PRON,5
7,Xx,SCONJ,1
8,Xxx,PRON,1
9,Xxxx,ADV,1
10,Xxxx,DET,1
11,Xxxxx,ADV,1
12,Xxxxx,PROPN,1
13,other.,PUNCT,4
14,x'x,PART,1
15,xx,ADP,11
16,xx,AUX,2
17,xx,CCONJ,1
18,xx,DET,2
19,xx,PART,8
20,xx,PRON,10
21,xxx,ADJ,1
22,xxx,ADP,1
23,xxx,AUX,1
24,xxx,CCONJ,7
25,xxx,DET,4
26,xxx,PART,1
27,xxx,PRON,7
28,xxx,VERB,2
29,xxxx,ADJ,9
30,xxxx,ADP,6
31,xxxx,ADV,4
32,xxxx,AUX,3
33,xxxx,DET,1
34,xxxx,NOUN,25
35,xxxx,PRON,1
36,xxxx,SCONJ,1
37,xxxx,VERB,25
38,xxxx',VERB,2
