,shape,pos,count
0,"""Xxxxx",PUNCT,1
1,'x,AUX,1
2,",",PUNCT,16
3,.,PUNCT,5
4,X,PRON,1
5,Xxx,CCONJ,1
6,Xxx,DET,1
7,Xxxx,ADP,1
8,Xxxx,PROPN,1
9,Xxxxx,NOUN,1
10,Xxxxx,PROPN,9
11,Xxxxx,VERB,2
12,other.,PUNCT,6
13,x,DET,4
14,x'x,PART,1
15,xx,ADP,11
16,xx,ADV,2
17,xx,CCONJ,1
18,xx,DET,1
19,xx,PART,2
20,xx,PRON,4
21,xx,VERB,3
22,xxx,ADJ,2
23,xxx,ADP,2
24,xxx,ADV,1
25,xxx,AUX,3
26,xxx,CCONJ,5
27,xxx,DET,10
28,xxx,NOUN,4
29,xxx,NUM,1
30,xxx,PRON,5
31,xxx,VERB,4
32,xxxx,ADJ,13
33,xxxx,ADP,9
34,xxxx,ADV,10
35,xxxx,AUX,2
36,xxxx,DET,5
37,xxxx,NOUN,23
38,xxxx,NUM,3
39,xxxx,PRON,5
40,xxxx,SCONJ,1
41,xxxx,VERB,18
42,"xxxx?""""Xxxx",DET,1
43,"xxxx?""""Xxxx",NOUN,1
