,shape,pos,count
0,",",PUNCT,16
1,.,PUNCT,7
2,Xx,ADP,1
3,Xx,PRON,2
4,Xxx,CCONJ,1
5,Xxx,DET,1
6,Xxxxx,PRON,1
7,Xxxxx,PROPN,1
8,other.,PUNCT,2
9,x,DET,7
10,xx,ADP,16
11,xx,ADV,1
12,xx,AUX,1
13,xx,DET,2
14,xx,PART,4
15,xx,PRON,9
16,xx,SCONJ,1
17,xx,VERB,2
18,xxx,ADJ,2
19,xxx,ADP,2
20,xxx,ADV,2
21,xxx,AUX,4
22,xxx,CCONJ,8
23,xxx,DET,8
24,xxx,NOUN,3
25,xxx,PART,1
26,xxx,PRON,5
27,xxx,VERB,2
28,xxxx,ADJ,13
29,xxxx,ADP,13
30,xxxx,ADV,9
31,xxxx,AUX,1
32,xxxx,DET,9
33,xxxx,NOUN,40
34,xxxx,NUM,1
35,xxxx,PRON,1
36,xxxx,VERB,19
