,shape,pos,count
0,'x,PART,2
1,",",PUNCT,7
2,.,NUM,1
3,.,PUNCT,13
4,X,DET,2
5,X+,PROPN,1
6,Xx,DET,1
7,Xxx,DET,3
8,Xxxx,ADJ,2
9,Xxxx,DET,1
10,Xxxxx,DET,1
11,Xxxxx,NOUN,3
12,d.X,NUM,1
13,other.,NUM,3
14,other.,PUNCT,6
15,other.,SYM,1
16,x,DET,8
17,xX,ADJ,2
18,xX,PROPN,2
19,xx,ADP,14
20,xx,AUX,4
21,xx,CCONJ,2
22,xx,DET,2
23,xx,PART,1
24,xx,SCONJ,2
25,xx,VERB,3
26,xxx,ADP,1
27,xxx,AUX,9
28,xxx,CCONJ,4
29,xxx,DET,6
30,xxx,NOUN,1
31,xxx,PART,1
32,xxx,VERB,2
33,xxxx,ADJ,10
34,xxxx,ADP,2
35,xxxx,ADV,8
36,xxxx,AUX,4
37,xxxx,DET,9
38,xxxx,NOUN,52
39,xxxx,PRON,2
40,xxxx,SCONJ,3
41,xxxx,VERB,18
