,shape,pos,count
0,'x,PART,1
1,",",PUNCT,16
2,.,PUNCT,16
3,Xx,ADP,1
4,Xx,ADV,1
5,Xx,INTJ,1
6,Xx,PRON,7
7,Xxx,DET,1
8,Xxx,NUM,1
9,Xxx,PRON,1
10,Xxx,VERB,1
11,Xxxx,ADV,1
12,Xxxxx,ADV,2
13,Xxxxx,NOUN,1
14,Xxxxx,PRON,2
15,Xxxxx,PROPN,11
16,Xxxxx,SCONJ,1
17,other.,PUNCT,16
18,x,DET,4
19,x'x,PART,3
20,xx,ADP,11
21,xx,PART,7
22,xx,PRON,5
23,xx,VERB,2
24,xxx,ADJ,3
25,xxx,ADP,6
26,xxx,ADV,1
27,xxx,AUX,4
28,xxx,CCONJ,5
29,xxx,DET,13
30,xxx,NOUN,3
31,xxx,PRON,13
32,xxx,VERB,7
33,xxxx,ADP,5
34,xxxx,ADV,3
35,xxxx,AUX,3
36,xxxx,DET,3
37,xxxx,NOUN,33
38,xxxx,PRON,2
39,xxxx,VERB,28
