,shape,pos,count
0,'x,PART,1
1,",",PUNCT,8
2,.,PUNCT,10
3,Xx,PRON,3
4,Xxx,CCONJ,1
5,Xxx,DET,3
6,Xxxx,PROPN,1
7,Xxxxx,ADJ,4
8,Xxxxx,NOUN,1
9,Xxxxx,PROPN,25
10,other.,NOUN,1
11,x,DET,3
12,xx,ADP,22
13,xx,ADV,1
14,xx,AUX,2
15,xx,CCONJ,1
16,xx,DET,2
17,xx,NOUN,1
18,xx,PART,5
19,xx,VERB,1
20,xxx,ADP,4
21,xxx,ADV,1
22,xxx,AUX,2
23,xxx,CCONJ,5
24,xxx,DET,24
25,xxx,NOUN,1
26,xxx,PRON,2
27,xxx,VERB,2
28,xxxx,ADJ,10
29,xxxx,ADP,6
30,xxxx,ADV,4
31,xxxx,AUX,2
32,xxxx,CCONJ,2
33,xxxx,DET,1
34,xxxx,NOUN,32
35,xxxx,PRON,1
36,xxxx,SCONJ,3
37,xxxx,VERB,23
