,shape,pos,count
0,",",PUNCT,4
1,.,PUNCT,10
2,XXX,PROPN,2
3,Xx,PRON,1
4,Xxx,ADJ,1
5,Xxx,DET,1
6,Xxx,NUM,1
7,Xxx,PROPN,1
8,Xxxxx,NOUN,1
9,Xxxxx,PRON,3
10,Xxxxx,VERB,1
11,other.,PUNCT,3
12,x,DET,5
13,xx,ADP,7
14,xx,ADV,1
15,xx,AUX,6
16,xx,CCONJ,2
17,xx,DET,2
18,xx,PART,3
19,xx,PRON,1
20,xx,SCONJ,1
21,xx,VERB,2
22,xxx,AUX,5
23,xxx,CCONJ,2
24,xxx,DET,6
25,xxx,NOUN,11
26,xxx,PART,2
27,xxx,PRON,2
28,xxx,VERB,2
29,xxxx,ADJ,8
30,xxxx,ADP,3
31,xxxx,ADV,4
32,xxxx,AUX,1
33,xxxx,DET,3
34,xxxx,NOUN,32
35,xxxx,PRON,3
36,xxxx,SCONJ,4
37,xxxx,VERB,14
