,shape,pos,count
0,'x,PART,2
1,",",PUNCT,11
2,.,PUNCT,10
3,X,DET,1
4,X,PRON,1
5,XXXX,PROPN,1
6,Xx,ADP,2
7,Xx,PRON,1
8,Xxx,DET,2
9,Xxxx,DET,1
10,Xxxx,PRON,1
11,Xxxx,SCONJ,1
12,Xxxxx,ADV,1
13,Xxxxx,PROPN,9
14,other.,NUM,2
15,other.,PUNCT,1
16,x,DET,3
17,x'x,PART,2
18,xx,ADP,11
19,xx,ADV,2
20,xx,PART,7
21,xx,PRON,6
22,xx,VERB,2
23,xxx,ADV,3
24,xxx,AUX,7
25,xxx,CCONJ,6
26,xxx,DET,14
27,xxx,NOUN,4
28,xxx,PART,1
29,xxx,VERB,2
30,xxxx,ADJ,11
31,xxxx,ADP,9
32,xxxx,ADV,10
33,xxxx,AUX,5
34,xxxx,DET,4
35,xxxx,NOUN,28
36,xxxx,NUM,2
37,xxxx,PRON,6
38,xxxx,SCONJ,2
39,xxxx,VERB,23
