,shape,pos,count
0,",",PUNCT,9
1,.,PUNCT,9
2,X,DET,1
3,Xx,ADP,1
4,Xx,PRON,2
5,Xxx,DET,1
6,Xxx,PROPN,2
7,Xxxx,ADV,1
8,Xxxx,DET,1
9,Xxxx,PROPN,3
10,Xxxxx,ADV,1
11,Xxxxx,PROPN,10
12,other.,PUNCT,2
13,x,DET,8
14,xx,ADP,21
15,xx,AUX,2
16,xx,CCONJ,1
17,xx,NOUN,1
18,xx,VERB,1
19,xxx,ADJ,6
20,xxx,ADP,2
21,xxx,AUX,3
22,xxx,CCONJ,5
23,xxx,DET,18
24,xxx,NOUN,2
25,xxx,NUM,1
26,xxx,PRON,3
27,xxx,VERB,2
28,xxxx,ADJ,15
29,xxxx,ADP,6
30,xxxx,ADV,5
31,xxxx,AUX,3
32,xxxx,DET,5
33,xxxx,NOUN,46
34,xxxx,SCONJ,1
35,xxxx,VERB,18
