,shape,pos,count
0,"""""Xx",PUNCT,1
1,"""Xxx",INTJ,1
2,"""Xxxx",NOUN,1
3,'x,PART,2
4,'xx,AUX,1
5,",",PUNCT,14
6,.,PUNCT,7
7,X,PRON,2
8,X.Xxx,PROPN,1
9,Xx,ADV,1
10,Xx,PRON,1
11,Xxx,DET,1
12,Xxx,NUM,1
13,Xxxxx,PROPN,7
14,other.,PUNCT,11
15,x,DET,6
16,xx,ADP,12
17,xx,PART,2
18,xx,PRON,6
19,xx,VERB,1
20,xxx,ADJ,1
21,xxx,ADV,2
22,xxx,AUX,5
23,xxx,CCONJ,10
24,xxx,DET,8
25,xxx,NOUN,8
26,xxx,PART,1
27,xxx,PRON,10
28,xxx,VERB,12
29,xxxx,ADJ,9
30,xxxx,ADP,4
31,xxxx,ADV,7
32,xxxx,AUX,1
33,xxxx,DET,4
34,xxxx,NOUN,23
35,xxxx,PRON,1
36,xxxx,SCONJ,1
37,xxxx,VERB,15
