,shape,pos,count
0,'x,PART,1
1,",",PUNCT,10
2,.,PUNCT,5
3,X'Xxxxx,PROPN,1
4,Xx,PRON,3
5,Xxx,ADV,1
6,Xxx,DET,1
7,Xxxx,PROPN,1
8,Xxxxx,NOUN,2
9,Xxxxx,PROPN,6
10,other.,NUM,1
11,other.,PUNCT,5
12,x,DET,4
13,x,PROPN,1
14,xx,ADP,18
15,xx,ADV,2
16,xx,AUX,2
17,xx,PRON,7
18,xx,SCONJ,1
19,xxx,ADP,2
20,xxx,ADV,1
21,xxx,AUX,5
22,xxx,CCONJ,2
23,xxx,DET,7
24,xxx,NOUN,1
25,xxx,PART,1
26,xxx,PRON,4
27,xxx,VERB,3
28,xxxx,ADJ,8
29,xxxx,ADP,4
30,xxxx,ADV,8
31,xxxx,AUX,4
32,xxxx,DET,6
33,xxxx,INTJ,1
34,xxxx,NOUN,22
35,xxxx,PRON,4
36,xxxx,PROPN,1
37,xxxx,SCONJ,4
38,xxxx,VERB,15
